,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
428,Xavier Tillman,MEM,F,22,22,14.7,30.5,16.6,11.8,34,0.647,70,0.543,27,0.222,0.485,0.518,5.3,3.2,11.6,1.4,13.2,1.18,0.45,0.68,7.8,112.8,100.9
429,Isaiah Todd,WAS,F,20,5,2.8,5.9,37.7,8.4,2,0.5,3,0.0,7,0.571,0.6,0.597,2.6,0.4,7.7,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0
430,Obi Toppin,NYK,F,23,26,15.9,33.1,22.7,11.3,52,0.788,120,0.658,46,0.196,0.557,0.598,8.7,3.9,13.1,0.9,10.2,0.35,0.62,0.92,7.9,116.7,103.4
431,Juan Toscano-Anderson,GSW,F,28,27,16.0,33.4,14.0,21.4,26,0.654,66,0.636,33,0.273,0.561,0.58,4.7,2.9,9.6,2.2,18.8,0.63,0.37,1.11,7.8,110.4,95.1
432,Karl-Anthony Towns,MIN,C-F,26,27,34.5,71.8,27.7,15.2,151,0.821,303,0.551,156,0.423,0.58,0.624,24.3,9.0,13.7,3.3,17.3,1.07,1.07,3.48,10.4,116.3,101.1
433,Gary Trent Jr.,TOR,G-F,22,26,34.8,72.4,20.2,5.4,46,0.891,193,0.482,188,0.383,0.528,0.552,17.0,3.2,4.9,2.0,8.9,2.12,0.31,0.88,5.5,115.1,108.1
434,P.J. Tucker,MIA,F,36,29,28.4,59.2,11.0,13.3,17,0.824,90,0.544,79,0.456,0.609,0.623,7.6,5.7,11.3,2.1,10.5,0.72,0.34,0.93,6.3,125.3,101.3
435,Myles Turner,IND,C-F,25,29,29.6,61.7,16.9,11.7,73,0.74,122,0.664,139,0.374,0.609,0.635,12.8,7.4,13.8,1.0,4.9,0.59,2.86,1.34,6.2,118.9,102.6
436,Jonas Valanciunas,NOP,C,29,30,31.3,65.3,24.2,12.4,116,0.819,345,0.533,71,0.465,0.561,0.602,18.7,12.1,20.8,2.4,13.6,0.6,0.93,2.2,10.4,117.9,102.5
437,Denzel Valentine,CLE,G,28,18,6.4,13.3,17.2,15.6,0,0.0,13,0.231,25,0.32,0.395,0.395,1.7,1.0,8.6,0.3,6.1,0.28,0.0,0.39,5.0,80.2,98.8
438,Jarred Vanderbilt,MIN,F,22,27,24.1,50.2,10.7,16.8,35,0.771,114,0.588,9,0.222,0.569,0.603,6.2,8.2,17.9,1.2,7.0,1.48,0.74,1.04,6.5,123.9,97.1
439,Fred VanVleet,TOR,G,27,27,38.0,79.3,23.3,15.2,81,0.864,208,0.476,229,0.389,0.532,0.566,19.8,5.0,7.1,6.5,26.3,1.56,0.56,3.15,9.1,111.8,107.2
440,Devin Vassell,SAS,G-F,21,22,24.3,50.6,18.5,6.0,29,0.724,106,0.547,99,0.364,0.546,0.563,11.1,3.7,8.0,1.4,8.1,1.09,0.77,0.64,6.4,111.6,104.3
441,Gabe Vincent,MIA,G,25,26,19.1,39.7,17.9,18.1,21,0.762,59,0.542,95,0.389,0.568,0.585,7.3,1.8,5.2,2.6,20.1,0.73,0.19,1.38,6.8,109.2,99.8
442,Nikola Vucevic,CHI,C,31,20,33.2,69.1,23.5,9.0,36,0.639,213,0.432,94,0.34,0.456,0.469,15.2,10.5,17.3,3.6,16.3,0.95,1.0,1.6,10.0,99.5,100.1
443,Dean Wade,CLE,F-C,25,20,20.5,42.7,10.2,6.3,8,0.75,28,0.643,58,0.345,0.558,0.57,5.1,3.3,8.8,1.1,7.4,0.55,0.05,0.3,5.2,120.6,99.3
444,Franz Wagner,ORL,F,20,29,32.1,66.8,19.4,9.3,67,0.791,244,0.48,108,0.38,0.507,0.537,14.1,4.5,7.4,2.8,14.3,1.1,0.41,1.34,7.0,109.2,109.0
445,Moritz Wagner,ORL,F-C,24,26,11.7,24.3,21.9,12.9,39,0.769,45,0.578,73,0.37,0.564,0.603,6.3,2.5,11.5,0.8,11.1,0.15,0.23,0.77,8.0,112.1,99.7
446,Ish Wainright,PHX,F,27,8,5.9,12.4,20.0,13.7,2,0.0,8,0.25,10,0.2,0.278,0.265,1.3,1.4,11.9,0.4,8.0,0.25,0.0,0.38,6.1,69.2,78.7
447,Lonnie Walker IV,SAS,G-F,23,26,22.4,46.6,22.7,10.7,44,0.864,125,0.48,132,0.295,0.461,0.498,10.6,2.9,6.8,2.3,14.6,0.62,0.31,1.27,7.4,97.9,108.2
448,Kemba Walker,NYK,G,31,18,24.5,51.0,21.2,11.3,25,0.8,85,0.447,92,0.413,0.537,0.559,11.7,2.6,5.6,3.1,20.4,1.06,0.28,1.33,7.4,110.2,110.6
449,Brad Wanamaker,IND,G,32,18,12.4,25.7,16.9,19.8,18,0.889,45,0.422,16,0.25,0.41,0.479,3.7,1.7,7.7,2.2,23.9,0.11,0.33,0.94,7.7,100.4,97.1
450,Duane Washington Jr.,IND,G,21,3,2.3,4.8,25.3,0.0,0,0.0,1,1.0,3,0.333,0.625,0.625,1.7,0.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,P.J. Washington,CHA,F,23,17,25.5,53.0,17.0,12.1,24,0.708,68,0.5,74,0.432,0.577,0.593,10.6,5.4,11.2,2.2,11.7,0.65,1.24,1.24,7.9,116.2,109.1
452,Yuta Watanabe,TOR,G-F,27,9,19.3,40.2,14.2,3.5,12,0.583,15,0.4,35,0.343,0.48,0.497,6.1,3.9,10.9,1.2,8.7,0.56,0.67,0.22,6.3,115.3,106.1
453,Trendon Watford,POR,F,21,7,4.9,10.2,19.5,13.1,3,0.667,12,0.5,0,0.0,0.5,0.526,2.0,0.9,9.5,0.6,18.2,0.29,0.29,0.29,8.4,108.1,108.9
454,Paul Watson,OKC,G,26,5,15.7,32.6,10.4,15.9,2,0.5,2,0.0,13,0.154,0.2,0.22,1.4,2.4,7.8,0.6,5.2,0.2,0.6,0.6,3.2,54.3,108.6
455,Russell Westbrook,LAL,G,33,29,36.2,75.4,27.7,19.8,153,0.68,360,0.492,115,0.322,0.489,0.525,19.6,7.8,11.4,8.4,36.3,1.17,0.21,4.62,12.0,101.6,102.1
456,Coby White,CHI,G,21,9,17.5,36.5,20.6,10.8,7,0.571,32,0.469,31,0.226,0.405,0.416,6.1,2.6,8.0,1.3,10.8,0.11,0.11,0.89,6.3,83.3,102.6
457,Derrick White,SAS,G,27,27,31.2,65.0,20.3,10.0,79,0.861,179,0.52,146,0.288,0.48,0.528,14.1,3.9,6.5,5.2,22.8,1.22,0.89,1.48,8.4,110.7,106.8
458,Hassan Whiteside,UTA,C,32,25,15.6,32.6,19.2,13.9,54,0.722,125,0.608,0,0.0,0.608,0.642,7.6,6.8,24.0,0.3,2.7,0.24,1.4,0.96,6.4,126.4,86.5
459,Joe Wieskamp,SAS,G-F,22,3,2.6,5.3,5.6,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Aaron Wiggins,OKC,G-F,22,10,15.2,31.8,9.4,24.2,7,0.571,4,1.0,18,0.333,0.591,0.598,3.0,1.6,5.4,1.0,9.5,0.4,0.1,0.8,4.4,100.6,102.8
461,Andrew Wiggins,GSW,F,26,28,30.9,64.4,24.1,9.5,103,0.709,244,0.537,147,0.408,0.565,0.59,18.4,4.5,7.8,1.8,9.3,0.79,0.61,1.64,6.9,112.3,101.2
462,Robert Williams III,BOS,C-F,24,21,27.3,56.8,11.7,15.7,33,0.667,114,0.746,0,0.0,0.746,0.747,9.1,8.1,15.9,1.1,6.4,0.76,1.71,1.14,6.3,141.7,104.2
463,Grant Williams,BOS,F,23,28,22.1,46.0,11.9,10.7,30,0.867,42,0.643,95,0.453,0.668,0.696,7.5,3.4,8.1,1.0,6.8,0.39,0.61,0.64,5.3,130.1,102.9
464,Kenrich Williams,OKC,G-F,27,24,20.8,43.3,15.0,10.4,32,0.531,89,0.483,52,0.423,0.539,0.545,7.0,3.6,8.8,2.0,15.4,1.0,0.21,0.75,7.1,113.2,104.6
465,Lou Williams,ATL,G,35,23,13.7,28.6,25.1,12.1,30,0.867,103,0.417,44,0.341,0.446,0.49,6.8,1.6,6.1,1.2,13.1,0.65,0.09,0.96,6.9,97.1,108.2
466,Patrick Williams,CHI,F,20,5,24.9,52.0,9.4,7.5,4,1.0,17,0.588,6,0.5,0.63,0.666,6.6,2.2,4.8,0.6,3.3,0.6,0.4,0.4,3.3,126.6,105.8
467,Ziaire Williams,MEM,F,20,19,17.8,37.1,14.0,9.8,6,0.667,34,0.559,65,0.246,0.434,0.443,4.7,1.5,4.4,0.6,4.7,0.42,0.32,0.58,3.6,90.2,106.5
468,Dylan Windler,CLE,G-F,25,19,10.3,21.5,11.8,15.2,4,0.75,14,0.571,29,0.379,0.57,0.581,2.7,1.7,9.2,0.9,12.8,0.26,0.11,0.42,6.2,115.4,95.9
469,Justise Winslow,LAC,F-G,25,19,9.2,19.2,18.1,24.8,6,0.5,39,0.462,13,0.231,0.433,0.439,2.5,2.2,12.6,1.1,16.4,0.47,0.37,0.95,7.9,83.7,97.7
470,Cassius Winston,WAS,G,23,2,3.4,7.0,25.9,25.8,2,1.0,0,0.0,2,0.0,0.0,0.347,1.0,0.0,0.0,1.0,36.6,0.0,0.0,0.5,0.0,0.0,0.0
471,Robert Woodard II,SAC,F,22,1,3.2,6.7,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Christian Wood,HOU,F,26,27,31.8,66.2,23.1,10.7,114,0.579,240,0.517,128,0.344,0.516,0.533,16.5,11.1,18.8,2.3,12.1,0.59,1.04,1.85,9.4,105.5,103.4
473,McKinley Wright IV,MIN,G,23,1,4.1,8.5,20.3,50.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.7,121.5
474,Delon Wright,ATL,G,29,26,14.3,29.8,10.5,14.5,19,0.789,45,0.378,23,0.348,0.426,0.478,2.8,2.7,10.1,2.2,19.3,0.65,0.23,0.5,7.1,117.2,110.4
475,Thaddeus Young,SAS,F,33,22,14.1,29.5,19.8,15.3,18,0.444,111,0.577,3,0.0,0.561,0.558,6.2,3.4,12.7,2.5,25.4,0.91,0.27,1.0,10.6,114.6,101.4
476,Trae Young,ATL,G,23,28,34.2,71.2,34.7,15.0,173,0.89,370,0.503,201,0.383,0.528,0.585,27.0,4.1,6.4,9.3,46.3,1.0,0.11,4.07,11.8,116.1,111.2
477,Omer Yurtseven,MIA,C,23,20,7.2,14.9,19.8,12.5,18,0.667,44,0.568,4,0.0,0.521,0.554,3.1,2.1,16.2,0.5,11.0,0.1,0.45,0.4,8.2,111.8,98.8
478,Cody Zeller,POR,F-C,29,24,13.3,27.7,15.4,14.2,47,0.766,72,0.597,4,0.0,0.566,0.631,5.1,4.5,18.5,0.8,9.2,0.29,0.25,0.67,7.9,130.1,98.0
479,Ivica Zubac,LAC,C,24,29,24.8,51.6,14.5,16.0,96,0.76,158,0.665,0,0.0,0.665,0.707,9.8,7.9,16.8,1.1,6.4,0.62,1.14,1.31,7.1,133.1,97.3
480,Scottie Lewis,CHA,G,21,2,3.3,6.9,5.7,0.0,2,0.5,0,0.0,0,0.0,0.0,0.568,0.5,0.0,0.0,0.5,17.2,0.5,0.0,0.0,0.0,0.0,0.0
